                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.85362,                0.36967,                0.90961,                0.99916,                      1,                  0.995,                0.78873,                0.87074,                0.31476,                0.94879,              0.0093367,              0.0093367,              0.0093367
                     69,                0.84107,                 0.3649,                0.90548,                0.99926,                      1,                  0.995,                0.77781,                0.88638,                0.33788,                0.94788,              0.0093268,              0.0093268,              0.0093268
                     70,                0.84329,                 0.3697,                0.90614,                0.99926,                      1,                  0.995,                0.80737,                0.86156,                0.31118,                0.94191,              0.0093169,              0.0093169,              0.0093169
                     71,                0.84666,                0.37096,                0.90679,                 0.9991,                      1,                  0.995,                0.78093,                0.90624,                0.31359,                0.96157,               0.009307,               0.009307,               0.009307
                     72,                0.83866,                0.36416,                0.90517,                0.99927,                      1,                  0.995,                  0.785,                0.89009,                0.31644,                0.96636,              0.0092971,              0.0092971,              0.0092971
                     73,                 0.8371,                0.36332,                0.90372,                0.99928,                      1,                  0.995,                0.79547,                 0.8762,                0.31646,                0.94872,              0.0092872,              0.0092872,              0.0092872
                     74,                  0.845,                0.36774,                0.90647,                0.99921,                      1,                  0.995,                0.79159,                0.87342,                 0.3044,                0.94938,              0.0092773,              0.0092773,              0.0092773
                     75,                0.83987,                0.36349,                0.90666,                0.99913,                      1,                  0.995,                0.78478,                0.88544,                0.30867,                0.95691,              0.0092674,              0.0092674,              0.0092674
                     76,                0.84814,                0.36724,                0.91255,                0.99926,                      1,                  0.995,                0.78669,                0.87773,                0.30613,                0.95071,              0.0092575,              0.0092575,              0.0092575
                     77,                0.84655,                0.36711,                0.90684,                0.99926,                      1,                  0.995,                0.78453,                0.86639,                0.30624,                0.94749,              0.0092476,              0.0092476,              0.0092476
                     78,                0.83753,                0.36515,                 0.9047,                0.99933,                      1,                  0.995,                0.79389,                0.85797,                0.30599,                0.94811,              0.0092377,              0.0092377,              0.0092377
                     79,                0.84459,                0.36545,                0.90582,                0.99935,                      1,                  0.995,                0.79558,                0.87185,                0.30779,                0.95207,              0.0092278,              0.0092278,              0.0092278
                     80,                0.84677,                0.36184,                0.90988,                0.99932,                      1,                  0.995,                0.80684,                0.85671,                0.30439,                0.93945,              0.0092179,              0.0092179,              0.0092179
                     81,                0.83723,                0.36727,                0.90728,                0.99904,                      1,                  0.995,                0.79658,                0.87144,                0.30232,                0.95238,               0.009208,               0.009208,               0.009208
                     82,                 0.8369,                0.36128,                 0.9084,                0.99928,                      1,                  0.995,                0.78337,                0.87064,                0.30888,                0.94618,              0.0091981,              0.0091981,              0.0091981
                     83,                0.83315,                0.36038,                 0.9025,                0.99925,                      1,                  0.995,                0.79304,                0.87727,                0.31552,                0.95275,              0.0091882,              0.0091882,              0.0091882
                     84,                0.84689,                0.36406,                0.90666,                0.99934,                      1,                  0.995,                0.79034,                0.85657,                0.30822,                0.93914,              0.0091783,              0.0091783,              0.0091783
                     85,                0.83173,                0.35707,                0.90165,                0.99925,                      1,                  0.995,                0.79458,                0.86215,                0.29974,                0.94081,              0.0091684,              0.0091684,              0.0091684
                     86,                0.83091,                0.35797,                0.90403,                0.99921,                      1,                  0.995,                0.79239,                 0.8469,                0.29702,                0.94064,              0.0091585,              0.0091585,              0.0091585
                     87,                0.83034,                0.35641,                0.90671,                0.99937,                      1,                  0.995,                 0.7997,                0.85405,                0.30286,                 0.9381,              0.0091486,              0.0091486,              0.0091486
