                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.82396,                0.35458,                0.90014,                0.99916,                      1,                  0.995,                0.78878,                0.86479,                0.30197,                0.94564,              0.0093466,              0.0093466,              0.0093466
                     68,                0.82038,                0.35413,                0.89944,                0.99939,                      1,                  0.995,                0.79181,                 0.9007,                0.31357,                0.95045,              0.0093367,              0.0093367,              0.0093367
                     69,                0.81301,                0.35213,                0.89597,                0.99917,                      1,                  0.995,                0.79582,                 0.8749,                0.30571,                0.94469,              0.0093268,              0.0093268,              0.0093268
                     70,                 0.8141,                0.35219,                0.89671,                0.99906,                      1,                  0.995,                0.79867,                0.87976,                0.30987,                0.95876,              0.0093169,              0.0093169,              0.0093169
                     71,                0.81985,                0.35449,                0.89785,                0.99921,                      1,                  0.995,                0.80249,                0.88401,                0.30933,                0.95082,               0.009307,               0.009307,               0.009307
                     72,                0.81295,                0.35374,                0.89557,                0.99911,                      1,                  0.995,                 0.7859,                0.88304,                0.31976,                0.95665,              0.0092971,              0.0092971,              0.0092971
                     73,                0.80457,                0.34713,                0.89412,                0.99933,                      1,                  0.995,                0.79408,                0.85111,                0.30008,                0.93445,              0.0092872,              0.0092872,              0.0092872
                     74,                0.81556,                0.35146,                0.89773,                0.99924,                      1,                  0.995,                0.80006,                0.87387,                0.30523,                0.94888,              0.0092773,              0.0092773,              0.0092773
                     75,                0.81169,                0.34944,                0.89776,                0.99927,                      1,                  0.995,                0.78843,                0.86287,                0.30629,                0.94375,              0.0092674,              0.0092674,              0.0092674
                     76,                 0.8195,                0.35243,                0.90311,                0.99916,                      1,                  0.995,                 0.7961,                  0.874,                0.30164,                0.95014,              0.0092575,              0.0092575,              0.0092575
                     77,                 0.8128,                0.35098,                 0.8959,                0.99939,                      1,                  0.995,                 0.8092,                 0.8459,                0.30452,                0.93989,              0.0092476,              0.0092476,              0.0092476
                     78,                0.80186,                0.34737,                0.89428,                0.99929,                      1,                  0.995,                0.80209,                0.84978,                0.29544,                0.93671,              0.0092377,              0.0092377,              0.0092377
                     79,                0.81104,                0.34751,                 0.8959,                0.99899,                      1,                  0.995,                0.80079,                0.85066,                0.29547,                0.94569,              0.0092278,              0.0092278,              0.0092278
                     80,                0.80675,                0.34634,                0.89862,                0.99939,                      1,                  0.995,                0.79408,                 0.8517,                0.29697,                0.93762,              0.0092179,              0.0092179,              0.0092179
