                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.84837,                0.35523,                0.91025,                0.99935,                      1,                  0.995,                0.79078,                0.87325,                0.30497,                0.95011,              0.0091189,              0.0091189,              0.0091189
                     91,                0.85827,                0.35806,                0.91818,                0.99941,                      1,                  0.995,                0.80399,                0.86537,                0.29855,                0.93965,               0.009109,               0.009109,               0.009109
                     92,                 0.8571,                 0.3564,                0.91871,                0.99935,                      1,                  0.995,                0.79728,                0.89156,                 0.3046,                0.95591,              0.0090991,              0.0090991,              0.0090991
                     93,                0.84951,                0.35249,                0.91741,                0.99959,                      1,                  0.995,                 0.8072,                0.87002,                0.29204,                0.94355,              0.0090892,              0.0090892,              0.0090892
                     94,                0.84949,                0.34758,                0.91516,                0.99927,                      1,                  0.995,                0.79779,                0.86549,                0.29671,                0.93789,              0.0090793,              0.0090793,              0.0090793
                     95,                0.84651,                 0.3536,                0.91776,                0.99925,                      1,                  0.995,                0.78942,                 0.8724,                 0.2961,                0.93861,              0.0090694,              0.0090694,              0.0090694
                     96,                0.85311,                0.35613,                0.91407,                0.99931,                      1,                  0.995,                 0.7932,                0.87564,                0.29687,                0.94713,              0.0090595,              0.0090595,              0.0090595
                     97,                0.84629,                0.35261,                0.91563,                0.99924,                      1,                  0.995,                0.79858,                0.85362,                0.29441,                0.93956,              0.0090496,              0.0090496,              0.0090496
                     98,                 0.8435,                0.35435,                0.91092,                0.99922,                      1,                  0.995,                  0.789,                0.89397,                0.30066,                0.95429,              0.0090397,              0.0090397,              0.0090397
                     99,                0.84648,                0.35285,                0.91616,                0.99954,                      1,                  0.995,                 0.7945,                0.85746,                0.29473,                0.94458,              0.0090298,              0.0090298,              0.0090298
                    100,                0.84422,                0.34912,                0.91123,                 0.9994,                      1,                  0.995,                0.80475,                0.87118,                 0.2903,                0.94694,              0.0090199,              0.0090199,              0.0090199
                    101,                0.84708,                0.34975,                  0.914,                0.99932,                      1,                  0.995,                0.80605,                 0.8614,                 0.2902,                0.93786,                0.00901,                0.00901,                0.00901
                    102,                0.84611,                0.34862,                0.91771,                0.99929,                      1,                  0.995,                0.79925,                0.86171,                0.29916,                0.94896,              0.0090001,              0.0090001,              0.0090001
                    103,                 0.8338,                0.34671,                0.91295,                0.99977,                      1,                  0.995,                0.80376,                0.85609,                 0.2906,                0.94148,              0.0089902,              0.0089902,              0.0089902
                    104,                0.84426,                0.35061,                0.91042,                 0.9996,                      1,                  0.995,                0.80058,                0.86832,                 0.2959,                0.94881,              0.0089803,              0.0089803,              0.0089803
                    105,                0.84332,                0.34977,                0.91192,                 0.9993,                      1,                  0.995,                0.80229,                0.86865,                0.29433,                0.94823,              0.0089704,              0.0089704,              0.0089704
                    106,                0.83509,                0.34927,                0.91013,                0.99922,                      1,                  0.995,                0.79577,                0.87182,                0.29238,                0.94681,              0.0089605,              0.0089605,              0.0089605
                    107,                0.83627,                0.34537,                0.91108,                0.99954,                      1,                  0.995,                0.79381,                0.88442,                0.29168,                 0.9473,              0.0089506,              0.0089506,              0.0089506
                    108,                0.83404,                0.34736,                0.91222,                0.99933,                      1,                  0.995,                0.79469,                0.87262,                0.29488,                0.94326,              0.0089407,              0.0089407,              0.0089407
                    109,                0.82656,                0.34276,                0.91334,                0.99938,                      1,                  0.995,                0.80054,                0.85388,                0.28965,                0.93934,              0.0089308,              0.0089308,              0.0089308
                    110,                0.83657,                 0.3469,                0.91182,                0.99921,                      1,                  0.995,                0.79308,                 0.8784,                0.29726,                0.94776,              0.0089209,              0.0089209,              0.0089209
                    111,                0.84184,                0.34857,                0.91543,                0.99947,                      1,                  0.995,                0.80333,                0.86689,                 0.2897,                0.94006,               0.008911,               0.008911,               0.008911
                    112,                0.83813,                0.34475,                0.91507,                0.99926,                      1,                  0.995,                 0.8018,                 0.8745,                0.29404,                0.94627,              0.0089011,              0.0089011,              0.0089011
                    113,                0.83699,                0.34541,                0.90952,                0.99953,                      1,                  0.995,                0.79634,                0.86441,                0.29604,                0.94692,              0.0088912,              0.0088912,              0.0088912
                    114,                0.83235,                0.34662,                0.91103,                0.99928,                      1,                  0.995,                0.79982,                0.84744,                 0.2888,                0.93876,              0.0088813,              0.0088813,              0.0088813
                    115,                 0.8302,                0.34475,                0.90961,                0.99951,                      1,                  0.995,                0.79928,                0.86454,                0.29291,                0.93952,              0.0088714,              0.0088714,              0.0088714
                    116,                0.83489,                0.34845,                0.91158,                0.99955,                      1,                  0.995,                0.79631,                0.87276,                0.29367,                0.95031,              0.0088615,              0.0088615,              0.0088615
                    117,                0.83471,                0.34554,                 0.9124,                0.99934,                      1,                  0.995,                0.79717,                0.86365,                0.29377,                0.94739,              0.0088516,              0.0088516,              0.0088516
                    118,                0.82319,                0.34242,                0.90412,                0.99921,                      1,                  0.995,                0.80178,                0.85643,                0.29081,                0.93967,              0.0088417,              0.0088417,              0.0088417
                    119,                 0.8266,                0.34482,                0.90576,                      1,                      1,                  0.995,                0.79677,                0.86832,                0.28915,                0.94598,              0.0088318,              0.0088318,              0.0088318
                    120,                0.82475,                0.34788,                0.90776,                0.99961,                      1,                  0.995,                0.79955,                0.86422,                0.28687,                0.94766,              0.0088219,              0.0088219,              0.0088219
                    121,                0.82603,                0.34141,                0.90902,                0.99978,                      1,                  0.995,                0.79604,                 0.8522,                0.28614,                0.93903,               0.008812,               0.008812,               0.008812
                    122,                0.81521,                0.33823,                0.90896,                0.99947,                      1,                  0.995,                0.79869,                0.85929,                0.29011,                0.93966,              0.0088021,              0.0088021,              0.0088021
                    123,                0.81886,                0.34264,                0.90459,                      1,                      1,                  0.995,                 0.8061,                0.84709,                0.28344,                0.94317,              0.0087922,              0.0087922,              0.0087922
                    124,                0.82738,                0.34315,                0.90992,                0.99917,                      1,                  0.995,                0.80412,                0.85454,                0.28686,                0.94314,              0.0087823,              0.0087823,              0.0087823
                    125,                0.81781,                0.33915,                0.90707,                0.99978,                      1,                  0.995,                0.80183,                0.86845,                0.29429,                0.93947,              0.0087724,              0.0087724,              0.0087724
                    126,                0.82077,                0.33981,                0.90476,                0.99943,                      1,                  0.995,                0.79985,                0.84605,                0.28323,                0.93802,              0.0087625,              0.0087625,              0.0087625
                    127,                0.82321,                0.34321,                0.91002,                 0.9993,                      1,                  0.995,                0.79807,                0.85317,                0.28917,                0.94044,              0.0087526,              0.0087526,              0.0087526
                    128,                0.82054,                0.34052,                0.90824,                0.99931,                      1,                  0.995,                0.80337,                0.85204,                0.28431,                 0.9398,              0.0087427,              0.0087427,              0.0087427
                    129,                0.81988,                0.33754,                0.90407,                      1,                      1,                  0.995,                0.80286,                0.84757,                0.28328,                0.93922,              0.0087328,              0.0087328,              0.0087328
                    130,                0.82419,                0.33964,                0.90958,                0.99978,                      1,                  0.995,                 0.7989,                0.86126,                0.28901,                0.94418,              0.0087229,              0.0087229,              0.0087229
                    131,                 0.8089,                0.33748,                0.90264,                0.99956,                      1,                  0.995,                0.79987,                0.87034,                0.28541,                  0.945,               0.008713,               0.008713,               0.008713
